OfferID,StudentID,CompanyID,OfferedPackage,OfferDate,OfferStatus
94,47,7,16.59,2025-11-06,Rejected
95,16,4,17.05,2025-11-28,Accepted
96,83,2,12.9,2026-05-28,Pending
97,168,4,25.71,2026-07-06,Accepted
98,186,3,7.76,2026-04-12,Pending
99,37,10,20.48,2025-09-13,Pending
100,35,5,8.28,2026-05-01,Accepted
101,93,6,19.81,2026-03-09,Pending
102,137,7,14.23,2025-08-09,Rejected
103,114,6,26.39,2026-02-09,Pending
104,198,9,8.72,2025-10-29,Accepted
105,199,4,15.23,2026-03-30,Accepted
106,30,10,17.2,2025-12-30,Accepted
107,63,6,5.11,2026-01-03,Rejected
108,138,4,6.09,2026-01-14,Rejected
109,148,4,5.21,2026-07-22,Rejected
110,48,5,17.56,2025-10-13,Accepted
111,89,4,17.79,2025-10-06,Accepted
112,140,9,11.12,2026-03-25,Accepted
113,85,5,13.41,2026-03-30,Rejected
114,194,5,7.31,2026-07-03,Accepted
115,47,5,28.17,2025-10-08,Accepted
116,120,10,23.98,2025-08-20,Accepted
117,166,3,19.26,2025-08-21,Rejected
118,19,5,6.82,2026-03-01,Rejected
119,172,1,11.52,2025-10-22,Accepted
120,168,4,14.93,2026-07-02,Accepted
121,125,10,27.64,2026-01-05,Pending
122,193,5,16.39,2026-05-19,Rejected
123,90,3,8.13,2026-06-09,Accepted
124,16,5,9.91,2026-07-14,Rejected
125,31,5,21.0,2026-04-15,Pending
126,45,7,20.23,2026-03-23,Pending
127,173,8,7.44,2025-08-01,Accepted
128,181,9,25.28,2026-05-30,Rejected
129,152,5,23.07,2026-06-21,Accepted
130,45,7,24.47,2026-04-10,Accepted
131,95,2,9.63,2026-03-11,Rejected
132,106,2,17.3,2025-11-18,Accepted
133,168,6,21.09,2025-11-04,Accepted
134,98,9,16.76,2025-11-12,Accepted
135,185,9,23.5,2025-11-17,Rejected
136,168,3,19.08,2026-04-07,Pending
137,108,5,25.37,2026-06-06,Rejected
138,58,8,27.68,2026-05-04,Rejected
139,137,7,22.24,2025-11-11,Pending
140,111,6,21.91,2026-01-03,Rejected
141,29,9,26.62,2025-12-12,Accepted
142,52,1,26.98,2025-11-21,Pending
143,79,5,5.78,2025-07-29,Rejected
144,165,3,11.66,2026-03-29,Rejected
145,154,7,14.57,2026-04-15,Pending
146,18,2,18.41,2025-10-12,Pending
147,29,8,26.62,2026-06-11,Accepted
148,176,9,9.05,2026-02-02,Rejected
149,72,4,5.24,2026-04-17,Pending
150,67,4,5.07,2026-05-26,Accepted
