AssessmentID,StudentID,CompanyID,CodingScore,SQLScore,AptitudeScore,AssessmentDate,Status
51,7,1,50,50,97,2026-02-03,Qualified
52,54,6,52,92,40,2026-03-06,Pending
53,173,4,93,88,98,2026-03-17,Rejected
54,190,5,93,94,66,2026-04-11,Pending
55,172,5,98,63,47,2025-10-18,Pending
56,4,2,64,62,97,2025-12-25,Qualified
57,188,1,89,75,48,2025-10-03,Qualified
58,157,7,61,42,96,2026-01-28,Pending
59,93,8,43,99,57,2025-12-27,Qualified
60,70,5,47,46,86,2025-10-05,Qualified
61,81,3,57,50,80,2026-01-26,Rejected
62,188,7,88,58,64,2025-11-24,Pending
63,159,9,40,76,52,2025-12-01,Rejected
64,185,1,84,43,85,2026-07-16,Pending
65,25,8,81,65,72,2025-08-26,Qualified
66,58,1,47,58,95,2026-01-09,Pending
67,53,8,80,50,51,2026-04-26,Pending
68,187,1,86,55,61,2026-04-17,Pending
69,99,6,81,97,92,2026-05-26,Pending
70,97,10,71,100,69,2025-11-03,Rejected
71,34,3,99,81,77,2025-12-24,Pending
72,192,2,52,90,57,2025-11-04,Pending
73,25,8,67,96,87,2026-04-30,Pending
74,117,2,68,48,79,2026-06-10,Rejected
75,51,8,62,83,97,2026-07-05,Qualified
76,97,6,80,41,86,2026-01-26,Rejected
77,58,5,62,51,83,2026-06-23,Qualified
78,158,1,73,44,99,2026-02-21,Pending
79,103,7,73,57,90,2026-05-23,Rejected
80,101,5,65,87,82,2026-05-23,Pending
81,10,6,71,48,89,2025-07-24,Qualified
82,74,10,73,62,71,2026-01-27,Rejected
83,13,10,88,76,40,2025-09-15,Qualified
84,68,8,85,78,79,2025-11-02,Pending
85,51,6,82,86,44,2025-08-09,Rejected
86,52,2,74,77,61,2026-01-25,Qualified
87,2,10,58,82,55,2025-09-29,Rejected
88,142,6,62,59,56,2025-11-06,Pending
89,81,10,60,98,42,2025-11-02,Pending
90,141,9,89,85,98,2025-10-06,Rejected
91,16,5,75,44,99,2026-06-26,Qualified
92,127,9,54,62,90,2025-12-30,Rejected
93,106,4,49,68,64,2026-07-18,Pending
94,116,1,69,87,58,2025-12-15,Pending
95,181,4,74,67,74,2025-11-30,Qualified
96,60,4,51,87,57,2026-07-22,Qualified
97,7,6,97,96,52,2026-03-29,Rejected
98,2,4,47,69,54,2025-10-06,Rejected
99,176,6,43,53,61,2025-12-22,Rejected
100,149,6,70,59,54,2025-11-14,Pending
101,8,9,60,86,98,2026-02-17,Pending
102,148,7,45,79,58,2026-02-02,Qualified
103,13,7,76,53,90,2026-04-09,Pending
104,64,9,58,79,72,2025-12-24,Qualified
105,150,5,79,54,64,2026-04-13,Pending
106,188,9,91,83,47,2026-04-05,Qualified
107,148,6,75,99,69,2026-04-28,Pending
108,3,3,43,97,98,2025-12-22,Qualified
109,33,9,80,66,60,2026-02-09,Qualified
110,142,7,88,58,74,2026-01-09,Rejected
111,130,2,40,84,98,2026-05-28,Rejected
112,82,8,62,100,94,2025-08-23,Pending
113,189,2,45,72,87,2025-10-20,Pending
114,54,2,90,66,47,2025-07-25,Pending
115,26,5,91,92,68,2026-03-24,Qualified
116,80,4,43,45,93,2025-09-30,Rejected
117,37,4,46,66,89,2026-01-02,Pending
118,123,9,47,85,50,2026-06-18,Qualified
119,93,9,82,68,61,2026-03-23,Qualified
120,46,2,44,87,41,2026-02-27,Qualified
121,24,8,89,86,59,2026-06-15,Rejected
122,159,6,40,69,68,2026-03-21,Rejected
123,56,3,60,71,75,2025-11-16,Pending
124,96,5,77,50,92,2026-06-02,Rejected
125,138,9,54,62,84,2026-02-19,Rejected
126,10,5,43,94,46,2026-02-05,Qualified
127,46,2,45,44,91,2025-11-04,Qualified
128,142,7,91,52,51,2026-05-01,Rejected
129,58,6,73,85,73,2026-07-13,Pending
130,38,7,40,70,47,2026-02-22,Pending
131,72,4,79,47,55,2026-02-02,Rejected
132,171,2,98,43,86,2025-09-03,Qualified
133,177,6,48,47,55,2025-11-05,Pending
134,149,7,87,53,53,2025-08-25,Pending
135,21,10,85,60,93,2025-09-16,Rejected
136,111,4,65,51,61,2026-05-12,Pending
137,149,5,42,83,40,2026-02-26,Qualified
138,72,2,52,62,56,2025-12-15,Rejected
139,114,7,78,83,60,2026-05-23,Rejected
140,169,9,70,97,91,2026-04-20,Pending
141,68,1,49,74,62,2025-08-17,Rejected
142,15,9,67,97,47,2025-07-31,Rejected
143,96,9,48,60,79,2026-02-11,Rejected
144,148,5,80,98,48,2026-05-20,Rejected
145,57,4,80,88,58,2026-06-08,Qualified
146,81,3,40,67,94,2025-12-15,Rejected
147,148,6,74,78,49,2025-11-01,Qualified
148,100,6,61,72,92,2026-01-18,Pending
149,178,4,57,96,44,2026-05-28,Qualified
150,30,4,62,91,88,2026-06-12,Rejected
151,49,6,54,80,67,2026-07-22,Qualified
152,125,6,60,68,86,2026-07-17,Rejected
153,200,2,65,80,66,2026-03-14,Pending
154,161,8,55,44,62,2026-02-24,Rejected
155,172,1,48,63,62,2026-06-15,Rejected
156,38,8,72,57,56,2026-04-10,Qualified
157,158,7,48,44,98,2026-05-16,Pending
158,91,7,88,61,77,2026-03-28,Qualified
159,113,6,56,51,89,2025-09-23,Rejected
160,197,9,100,90,63,2026-03-02,Rejected
161,129,9,46,95,100,2025-11-15,Qualified
162,61,10,60,66,75,2026-01-23,Rejected
163,175,10,98,79,86,2026-01-18,Pending
164,130,4,70,53,48,2026-03-29,Qualified
165,112,3,44,83,91,2026-02-06,Qualified
166,155,9,57,68,90,2026-03-10,Qualified
167,149,1,76,70,98,2026-07-12,Rejected
168,65,4,59,84,93,2025-11-11,Rejected
169,125,6,59,75,49,2026-05-07,Pending
170,152,9,42,77,77,2026-04-29,Pending
171,143,7,65,49,59,2025-08-14,Qualified
172,75,9,92,87,86,2026-06-08,Qualified
173,198,3,54,82,80,2026-02-22,Pending
174,121,2,63,57,53,2026-07-20,Rejected
175,126,3,47,73,61,2026-07-23,Qualified
176,99,7,86,63,58,2025-12-24,Pending
177,54,9,73,47,64,2025-12-13,Rejected
178,7,4,52,76,79,2025-11-12,Qualified
179,59,3,42,76,91,2025-09-09,Rejected
180,149,3,81,55,95,2026-04-11,Rejected
181,73,7,60,47,62,2026-07-17,Pending
182,170,1,97,77,40,2026-01-25,Qualified
183,105,5,66,42,68,2026-06-03,Qualified
184,44,8,83,85,42,2026-03-20,Rejected
185,172,2,53,67,79,2026-04-01,Pending
186,167,8,46,40,77,2026-04-09,Qualified
187,140,10,95,48,62,2026-05-31,Pending
188,103,9,64,50,91,2026-04-12,Pending
189,109,8,50,46,71,2026-05-22,Qualified
190,169,8,95,66,85,2026-06-09,Rejected
191,94,1,71,97,87,2026-02-17,Rejected
192,73,2,83,53,95,2025-10-01,Qualified
193,76,8,85,55,89,2026-06-26,Qualified
194,35,9,78,74,72,2025-12-30,Qualified
195,13,9,58,46,97,2026-06-16,Qualified
196,180,2,51,89,84,2026-01-24,Qualified
197,120,3,80,90,56,2025-08-15,Qualified
198,127,9,99,64,96,2026-05-09,Pending
199,68,2,86,88,72,2026-02-09,Rejected
200,96,3,89,85,85,2026-01-24,Qualified
201,184,3,70,64,76,2025-09-04,Qualified
202,43,2,53,47,75,2026-04-30,Qualified
203,138,4,68,49,55,2026-05-15,Qualified
204,121,5,97,77,77,2026-01-23,Rejected
205,162,1,68,56,98,2026-01-03,Pending
206,9,3,92,54,79,2025-10-03,Pending
207,20,10,90,70,45,2025-10-18,Pending
208,160,5,93,70,52,2025-12-05,Rejected
209,199,4,72,48,92,2026-05-25,Rejected
210,167,6,56,58,79,2025-11-11,Qualified
211,27,6,51,69,73,2026-01-09,Rejected
212,5,3,89,89,92,2026-06-28,Qualified
213,86,1,91,48,85,2026-04-18,Pending
214,25,10,70,57,56,2025-08-08,Rejected
215,75,10,72,62,73,2026-03-23,Rejected
216,188,7,47,56,67,2025-08-20,Pending
217,82,10,72,71,73,2025-10-31,Rejected
218,15,4,42,73,53,2026-01-12,Qualified
219,181,6,49,48,81,2026-04-24,Qualified
220,161,9,64,63,81,2026-04-15,Qualified
221,171,6,68,84,97,2025-08-21,Pending
222,126,1,55,72,60,2025-10-17,Rejected
223,37,9,58,80,97,2026-04-05,Pending
224,77,3,62,81,89,2026-06-29,Rejected
225,111,6,97,67,75,2026-04-09,Rejected
226,128,7,88,82,75,2025-12-13,Qualified
227,156,2,44,69,81,2026-01-11,Qualified
228,146,1,52,48,78,2025-09-02,Qualified
229,107,2,89,42,46,2025-11-11,Pending
230,63,6,46,84,82,2025-11-03,Pending
231,66,6,94,72,98,2025-09-07,Rejected
232,27,8,70,85,51,2026-06-08,Rejected
233,37,2,57,53,79,2026-04-13,Rejected
234,139,8,58,92,66,2026-03-21,Qualified
235,43,8,73,67,99,2026-01-06,Rejected
236,26,7,100,47,85,2026-02-12,Pending
237,66,2,76,66,42,2025-10-14,Qualified
238,97,3,64,74,100,2026-05-22,Pending
239,131,4,83,56,83,2025-12-06,Rejected
240,54,5,85,81,66,2026-06-24,Qualified
241,181,2,42,40,91,2025-12-26,Qualified
242,36,8,84,42,70,2026-05-18,Qualified
243,177,1,49,71,99,2025-10-27,Rejected
244,80,8,40,61,41,2026-03-14,Pending
245,52,3,90,51,97,2026-01-26,Qualified
246,24,1,70,93,50,2025-09-20,Pending
247,137,2,70,89,63,2025-08-26,Qualified
248,6,4,57,49,41,2026-04-25,Qualified
249,166,5,69,60,50,2026-02-12,Pending
250,36,9,86,89,45,2026-06-04,Qualified
251,146,2,40,57,71,2025-11-11,Pending
252,63,6,48,53,75,2026-04-18,Qualified
253,120,6,54,53,46,2025-12-13,Qualified
254,124,5,55,78,79,2025-08-14,Qualified
255,1,1,89,42,75,2025-11-21,Qualified
256,44,9,94,82,40,2026-05-10,Rejected
257,105,4,98,63,41,2025-08-08,Qualified
258,158,2,58,40,48,2026-02-08,Rejected
259,118,7,42,89,71,2025-12-28,Pending
260,77,3,97,62,91,2026-02-22,Pending
261,150,7,85,51,62,2025-09-19,Pending
262,122,4,100,58,91,2026-05-01,Pending
263,57,7,93,70,82,2025-08-14,Pending
264,33,3,57,73,78,2026-01-29,Pending
265,116,9,64,70,96,2025-07-28,Pending
266,107,2,75,49,68,2025-11-04,Qualified
267,141,6,74,79,42,2025-08-14,Rejected
268,127,7,66,86,87,2025-12-12,Pending
269,179,3,46,88,93,2026-05-06,Rejected
270,73,7,77,62,64,2026-02-05,Rejected
271,50,7,89,87,54,2026-03-05,Rejected
272,42,4,69,76,90,2026-06-21,Rejected
273,22,8,75,59,85,2025-11-13,Rejected
274,3,1,57,73,92,2026-02-12,Qualified
275,163,10,94,58,58,2025-10-18,Rejected
276,123,6,79,54,73,2026-06-03,Qualified
277,111,9,59,81,60,2025-12-30,Qualified
278,84,6,64,50,65,2026-02-16,Qualified
279,187,6,97,78,64,2026-05-12,Rejected
280,79,6,59,55,70,2026-03-22,Pending
281,121,7,95,64,50,2026-01-22,Pending
282,39,10,87,63,59,2026-04-02,Rejected
283,163,6,74,71,92,2026-01-02,Rejected
284,147,5,74,88,46,2026-04-17,Rejected
285,50,10,100,68,98,2025-11-03,Pending
286,102,3,42,45,75,2025-11-07,Qualified
287,49,7,41,88,80,2026-04-29,Rejected
288,1,10,74,73,93,2025-10-14,Pending
289,39,5,88,63,100,2025-10-14,Rejected
290,41,9,98,61,56,2026-05-31,Qualified
291,144,9,85,75,71,2026-07-04,Qualified
292,85,10,44,77,52,2025-10-30,Rejected
293,34,7,48,41,43,2026-03-17,Qualified
294,14,4,49,91,49,2025-09-10,Pending
295,113,1,50,97,77,2026-07-18,Qualified
296,54,1,41,84,41,2026-07-06,Qualified
297,12,7,86,73,48,2026-01-31,Rejected
298,155,9,70,81,84,2025-07-25,Qualified
299,93,5,51,40,85,2026-07-22,Pending
300,198,1,90,41,43,2026-04-09,Qualified
301,74,1,86,59,57,2025-08-06,Rejected
302,200,6,63,74,93,2026-06-13,Rejected
303,125,2,64,93,76,2026-03-29,Rejected
304,31,9,83,65,100,2026-01-23,Pending
305,121,10,86,93,41,2025-11-25,Rejected
306,12,10,53,70,58,2026-06-20,Qualified
307,1,2,63,89,40,2026-05-18,Rejected
308,161,4,93,68,76,2026-01-05,Rejected
309,169,6,41,47,53,2025-10-30,Qualified
310,68,4,87,66,66,2026-01-12,Rejected
311,31,7,100,65,69,2026-01-26,Pending
312,122,9,47,77,87,2026-05-21,Qualified
313,128,9,40,94,55,2026-03-08,Pending
314,151,10,54,70,94,2026-04-27,Qualified
315,28,6,99,86,100,2026-05-21,Pending
316,104,4,64,59,82,2025-09-18,Rejected
317,64,1,45,90,88,2026-01-31,Rejected
318,75,7,69,69,51,2025-11-22,Qualified
319,72,6,45,74,45,2025-08-23,Pending
320,41,3,41,78,70,2026-04-28,Qualified
321,18,3,54,92,43,2026-07-19,Rejected
322,25,1,65,95,42,2026-05-24,Rejected
323,55,5,95,56,50,2026-04-01,Qualified
324,88,4,59,80,64,2026-03-10,Pending
325,25,10,56,47,86,2026-03-28,Qualified
326,103,4,59,80,55,2025-10-30,Pending
327,149,7,43,65,48,2025-08-30,Qualified
328,33,7,73,100,91,2025-10-27,Pending
329,172,4,70,70,59,2025-10-30,Qualified
330,160,4,69,79,40,2025-12-19,Pending
331,182,2,44,80,63,2026-04-13,Pending
332,77,1,77,95,43,2025-08-20,Qualified
333,95,1,72,83,67,2026-01-14,Qualified
334,9,4,40,47,53,2025-07-26,Pending
335,143,4,95,40,89,2026-04-23,Pending
336,144,10,57,58,68,2026-03-15,Pending
337,76,6,46,58,41,2025-11-17,Rejected
338,149,10,51,80,86,2026-05-25,Pending
339,114,2,52,55,96,2026-02-08,Pending
340,106,3,48,63,77,2025-08-22,Qualified
341,95,8,97,63,75,2025-11-14,Rejected
342,73,6,54,63,90,2025-11-07,Pending
343,137,5,55,43,96,2025-11-18,Qualified
344,134,5,58,98,65,2025-12-27,Qualified
345,12,2,90,47,76,2026-04-11,Rejected
346,145,8,56,100,68,2025-08-30,Pending
347,44,8,43,99,60,2025-09-16,Qualified
348,16,7,52,93,53,2026-03-17,Pending
349,169,5,91,50,91,2026-07-03,Rejected
350,156,10,42,53,41,2025-11-25,Pending
351,83,5,75,47,98,2026-01-24,Pending
352,109,7,48,61,42,2026-07-04,Rejected
353,181,1,77,80,61,2026-03-22,Pending
354,154,8,76,81,86,2025-10-28,Rejected
355,46,4,92,41,48,2026-01-29,Rejected
356,40,4,90,69,47,2025-11-06,Rejected
357,5,10,68,93,83,2025-08-15,Pending
358,96,9,95,75,42,2025-10-14,Qualified
359,100,5,47,50,46,2026-07-08,Pending
360,129,8,68,84,84,2026-05-07,Pending
361,186,2,45,55,86,2026-04-08,Pending
362,90,8,51,48,64,2025-09-26,Pending
363,126,10,97,68,53,2026-04-19,Qualified
364,141,9,68,47,78,2026-07-20,Pending
365,106,6,82,63,88,2026-01-25,Qualified
366,184,10,96,79,87,2026-07-21,Rejected
367,109,8,42,44,40,2026-01-01,Rejected
368,122,3,58,62,87,2025-10-13,Qualified
369,176,5,40,83,84,2025-09-17,Qualified
370,37,3,94,80,88,2025-09-28,Rejected
371,146,5,52,40,71,2025-11-25,Qualified
372,69,6,91,49,53,2025-09-20,Qualified
373,22,5,59,53,72,2026-06-15,Qualified
374,163,5,58,73,81,2026-07-14,Qualified
375,113,6,63,73,80,2025-11-24,Pending
376,98,9,66,71,40,2025-12-26,Qualified
377,123,8,69,46,74,2026-02-10,Rejected
378,148,1,99,55,56,2025-12-03,Rejected
379,91,7,76,96,76,2026-07-07,Qualified
380,85,10,52,71,57,2026-01-13,Qualified
381,180,7,40,69,80,2025-12-09,Rejected
382,200,6,64,46,94,2026-04-22,Rejected
383,87,4,81,63,49,2025-10-31,Pending
384,145,7,82,59,86,2025-07-29,Pending
385,47,2,88,65,44,2026-02-03,Pending
386,136,1,74,56,98,2026-07-03,Rejected
387,80,9,95,45,60,2026-06-18,Qualified
388,20,9,86,44,54,2026-06-06,Rejected
389,70,5,54,100,61,2026-02-28,Rejected
390,183,8,64,69,49,2026-07-02,Pending
391,181,6,43,59,92,2026-04-25,Pending
392,107,4,63,91,99,2025-11-08,Pending
393,12,5,59,81,57,2025-10-22,Qualified
394,12,10,71,96,77,2026-02-22,Qualified
395,111,1,51,82,90,2025-09-25,Pending
396,37,2,43,94,49,2025-09-05,Rejected
397,12,3,97,91,69,2025-11-05,Rejected
398,5,2,48,81,93,2026-04-26,Pending
399,94,4,60,94,61,2025-10-04,Qualified
400,85,9,45,49,87,2025-11-09,Pending
401,54,10,77,50,53,2025-11-05,Rejected
402,126,1,64,49,64,2025-09-18,Pending
403,116,5,96,44,50,2026-01-16,Pending
404,60,4,84,42,56,2026-05-20,Qualified
405,58,4,78,65,84,2026-04-25,Rejected
406,85,7,87,56,92,2026-05-14,Pending
407,26,10,72,49,64,2025-08-02,Rejected
408,156,3,60,70,62,2026-03-09,Rejected
409,17,7,64,45,96,2026-06-18,Rejected
410,69,1,74,71,93,2026-03-09,Qualified
411,44,1,78,89,60,2026-02-22,Qualified
412,155,4,86,51,44,2025-09-03,Rejected
413,122,2,96,52,62,2026-06-15,Pending
414,12,4,93,86,86,2025-10-26,Qualified
415,134,4,100,54,77,2025-11-02,Qualified
416,73,5,55,90,40,2025-09-23,Pending
417,29,8,84,53,52,2025-09-22,Rejected
418,178,3,53,47,75,2026-03-02,Pending
419,14,8,74,93,82,2026-04-24,Rejected
420,160,2,43,87,79,2026-02-27,Rejected
421,9,1,60,91,68,2026-01-04,Pending
422,139,5,57,78,81,2026-02-05,Rejected
423,87,9,70,47,77,2026-04-27,Pending
424,189,8,41,93,79,2025-12-15,Qualified
425,18,8,58,98,57,2026-01-17,Rejected
426,42,5,73,79,93,2026-05-17,Qualified
427,68,7,50,60,51,2026-05-15,Pending
428,14,10,48,86,76,2025-11-27,Rejected
429,48,6,72,97,40,2026-03-24,Rejected
430,163,1,49,82,98,2025-08-24,Pending
431,177,10,75,98,47,2026-02-09,Rejected
432,21,1,70,69,63,2026-04-21,Qualified
433,196,3,73,56,94,2026-01-05,Qualified
434,56,9,93,92,79,2025-11-15,Qualified
435,166,6,52,61,96,2026-01-05,Qualified
436,198,8,73,66,52,2026-02-03,Pending
437,124,10,83,73,79,2026-03-24,Qualified
438,111,1,82,100,76,2026-01-10,Qualified
439,29,2,49,88,89,2025-09-21,Pending
440,55,6,97,51,94,2025-08-06,Qualified
441,136,9,89,99,75,2026-06-14,Pending
442,63,4,91,60,98,2026-02-28,Rejected
443,30,6,57,62,91,2026-04-20,Qualified
444,20,7,99,80,64,2025-10-19,Qualified
445,1,6,98,88,56,2026-07-10,Qualified
446,103,10,96,77,100,2026-03-18,Rejected
447,188,1,71,83,64,2026-03-07,Pending
448,114,9,49,53,92,2026-01-06,Pending
449,47,3,99,96,88,2026-07-15,Pending
450,172,2,52,98,93,2025-10-25,Pending
451,127,9,68,51,63,2026-06-28,Pending
452,196,8,51,81,56,2026-01-26,Pending
453,118,1,89,49,45,2026-04-05,Rejected
454,158,10,76,99,59,2025-09-16,Pending
455,8,6,57,82,75,2026-07-17,Rejected
456,136,7,80,45,89,2026-05-24,Pending
457,164,9,75,61,62,2026-06-17,Qualified
458,114,3,80,97,73,2026-01-28,Rejected
459,62,5,83,42,53,2025-09-19,Pending
460,48,4,68,86,95,2026-02-02,Qualified
461,104,3,69,56,100,2025-08-19,Rejected
462,47,6,67,96,46,2025-11-11,Rejected
463,177,7,43,80,40,2026-03-22,Qualified
464,103,10,89,98,90,2026-05-06,Pending
465,144,6,61,74,62,2025-09-11,Pending
466,197,9,92,66,96,2026-05-05,Rejected
467,171,4,70,66,79,2026-02-04,Pending
468,9,5,51,87,51,2026-06-20,Rejected
469,10,10,66,98,44,2026-03-01,Pending
470,166,7,55,76,89,2025-12-25,Pending
471,99,10,100,73,96,2026-05-02,Pending
472,185,4,65,57,83,2026-05-20,Rejected
473,25,8,77,58,89,2026-07-15,Pending
474,179,6,64,82,58,2025-11-12,Qualified
475,2,1,80,80,51,2025-10-11,Qualified
476,123,10,43,52,74,2026-03-30,Pending
477,52,4,73,46,47,2025-10-10,Qualified
478,104,6,77,78,45,2026-01-27,Qualified
479,190,8,85,94,62,2026-06-16,Rejected
480,172,10,51,71,65,2025-11-10,Qualified
481,150,8,56,42,86,2025-09-21,Qualified
482,15,8,91,57,64,2025-09-29,Pending
483,90,7,93,90,62,2026-01-03,Rejected
484,57,6,40,45,58,2025-11-17,Rejected
485,144,9,73,96,47,2026-06-17,Rejected
486,10,3,93,64,89,2025-08-22,Rejected
487,46,5,88,83,47,2025-11-23,Pending
488,69,8,72,40,68,2026-01-11,Pending
489,188,9,100,66,42,2026-04-09,Pending
490,44,2,51,43,78,2026-07-12,Rejected
491,147,5,41,60,89,2026-01-13,Pending
492,179,6,53,50,47,2025-11-24,Pending
493,173,7,62,52,76,2026-03-24,Rejected
494,58,4,47,90,78,2025-08-16,Rejected
495,108,1,88,51,93,2025-09-07,Pending
496,99,9,58,56,48,2026-03-31,Rejected
497,10,4,42,98,65,2025-11-15,Qualified
498,79,8,47,44,80,2026-04-10,Qualified
499,158,10,41,88,95,2025-10-18,Rejected
500,86,6,100,50,78,2026-03-25,Pending
