InterviewID,StudentID,CompanyID,TechnicalRound,HRRound,InterviewDate,Result
42,167,9,Pass,Fail,2025-07-25,Pending
43,115,5,Fail,Fail,2025-09-18,Pending
44,66,6,Pass,Fail,2025-08-30,Selected
45,174,10,Fail,Pass,2025-11-10,Pending
46,8,8,Fail,Pass,2025-10-05,Rejected
47,152,1,Fail,Pending,2026-03-26,Rejected
48,8,10,Fail,Fail,2026-07-22,Pending
49,132,9,Fail,Pass,2026-05-23,Pending
50,8,3,Pass,Fail,2025-09-06,Rejected
51,10,7,Pass,Pending,2026-07-09,Pending
52,103,8,Pass,Pass,2026-06-12,Rejected
53,29,6,Pass,Fail,2026-02-03,Rejected
54,131,6,Fail,Pass,2025-08-07,Selected
55,70,5,Pass,Pending,2025-07-24,Rejected
56,65,2,Fail,Pending,2025-12-21,Rejected
57,73,9,Pass,Fail,2025-08-26,Pending
58,29,4,Pass,Pass,2026-02-22,Pending
59,46,8,Pass,Fail,2025-12-23,Rejected
60,123,4,Pass,Pending,2025-10-06,Selected
61,3,5,Fail,Fail,2026-02-27,Selected
62,76,2,Pass,Pending,2025-11-07,Pending
63,184,8,Pass,Fail,2025-08-31,Selected
64,186,9,Pass,Fail,2025-12-31,Selected
65,103,10,Pass,Pending,2025-09-20,Selected
66,73,2,Fail,Pass,2025-09-17,Rejected
67,16,6,Fail,Pending,2026-05-29,Pending
68,75,8,Fail,Fail,2026-04-14,Rejected
69,13,10,Pass,Pending,2026-04-08,Pending
70,50,4,Pass,Fail,2025-07-30,Rejected
71,139,6,Pass,Pass,2026-01-27,Selected
72,127,5,Pass,Pending,2025-12-31,Rejected
73,167,3,Fail,Fail,2025-09-08,Selected
74,31,7,Fail,Fail,2026-04-26,Pending
75,199,10,Fail,Pass,2026-01-27,Rejected
76,47,3,Pass,Pending,2026-07-11,Rejected
77,172,9,Fail,Pending,2026-04-18,Selected
78,123,7,Fail,Fail,2026-05-08,Pending
79,27,1,Pass,Pass,2025-12-08,Pending
80,189,4,Pass,Pending,2025-07-29,Selected
81,158,9,Fail,Pass,2025-11-23,Pending
82,191,3,Fail,Pending,2025-08-22,Pending
83,150,1,Fail,Pending,2026-03-29,Selected
84,150,10,Fail,Fail,2026-03-01,Selected
85,181,10,Fail,Fail,2025-08-04,Pending
86,36,5,Pass,Pending,2026-02-09,Selected
87,109,9,Fail,Pending,2026-01-27,Pending
88,46,7,Fail,Fail,2025-11-17,Rejected
89,63,6,Pass,Fail,2026-03-29,Selected
90,196,9,Pass,Fail,2026-03-28,Rejected
91,127,1,Fail,Fail,2025-11-21,Pending
92,82,1,Pass,Fail,2026-02-27,Rejected
93,115,1,Pass,Fail,2025-10-25,Selected
94,145,8,Fail,Fail,2025-11-01,Selected
95,178,5,Pass,Pending,2025-10-08,Rejected
96,124,2,Pass,Fail,2025-08-06,Pending
97,124,8,Fail,Fail,2026-06-08,Selected
98,45,2,Fail,Pending,2026-04-28,Rejected
99,152,1,Pass,Pass,2025-12-27,Pending
100,166,7,Pass,Fail,2026-07-14,Pending
101,177,5,Pass,Pass,2025-10-15,Rejected
102,22,10,Fail,Pending,2025-08-31,Pending
103,76,6,Pass,Pending,2025-12-13,Pending
104,47,1,Pass,Pass,2026-07-08,Selected
105,94,8,Pass,Fail,2026-03-10,Selected
106,52,8,Fail,Pass,2025-11-26,Selected
107,96,5,Fail,Fail,2026-07-18,Rejected
108,101,8,Fail,Pending,2025-11-18,Selected
109,128,7,Pass,Pending,2025-09-11,Pending
110,5,10,Fail,Pass,2025-08-22,Selected
111,184,4,Pass,Pass,2026-02-20,Selected
112,61,9,Fail,Fail,2026-01-07,Rejected
113,136,6,Fail,Fail,2025-09-23,Selected
114,81,4,Fail,Pending,2025-09-20,Pending
115,13,3,Pass,Fail,2026-05-27,Pending
116,86,5,Pass,Pass,2026-06-16,Rejected
117,73,2,Fail,Pass,2025-11-22,Pending
118,35,2,Pass,Pass,2025-10-12,Selected
119,86,3,Fail,Pending,2026-04-10,Selected
120,177,10,Pass,Fail,2026-05-16,Pending
121,18,7,Pass,Fail,2026-07-22,Selected
122,82,5,Pass,Fail,2026-04-21,Selected
123,187,4,Pass,Fail,2026-07-12,Pending
124,63,5,Fail,Fail,2025-10-18,Pending
125,89,4,Fail,Pending,2025-12-05,Selected
126,93,5,Fail,Pass,2025-12-18,Selected
127,175,10,Fail,Pass,2025-08-06,Selected
128,68,9,Fail,Pending,2025-10-22,Pending
129,6,5,Fail,Pending,2026-05-02,Rejected
130,71,4,Pass,Pending,2025-10-27,Pending
131,88,8,Pass,Pass,2025-10-16,Rejected
132,102,4,Pass,Pending,2025-07-28,Selected
133,187,8,Pass,Pending,2026-06-28,Pending
134,149,2,Pass,Pass,2025-12-26,Selected
135,53,1,Pass,Pending,2025-10-21,Pending
136,102,8,Pass,Fail,2025-08-24,Selected
137,98,4,Pass,Pending,2026-07-15,Selected
138,88,9,Pass,Fail,2025-10-28,Pending
139,130,4,Fail,Pending,2026-06-17,Rejected
140,107,4,Fail,Pending,2025-09-26,Rejected
141,135,2,Pass,Pass,2026-02-07,Pending
142,133,2,Fail,Pass,2026-05-01,Rejected
143,41,2,Pass,Fail,2025-08-30,Rejected
144,91,8,Fail,Fail,2026-07-23,Rejected
145,102,10,Fail,Fail,2026-02-06,Rejected
146,168,4,Pass,Pass,2026-01-17,Rejected
147,191,3,Fail,Fail,2025-12-01,Selected
148,113,6,Pass,Pending,2025-09-07,Pending
149,46,2,Pass,Pending,2026-02-12,Pending
150,133,3,Fail,Pending,2025-07-29,Pending
151,21,8,Pass,Pending,2026-04-15,Pending
152,178,3,Pass,Fail,2025-09-28,Selected
153,192,5,Pass,Fail,2026-02-03,Pending
154,18,3,Fail,Pass,2026-07-11,Pending
155,135,7,Fail,Fail,2025-10-31,Pending
156,55,7,Fail,Pass,2025-11-05,Selected
157,198,5,Fail,Pending,2026-03-11,Rejected
158,170,8,Fail,Pass,2026-05-05,Pending
159,187,8,Pass,Pass,2025-11-06,Pending
160,165,5,Fail,Pass,2026-05-23,Rejected
161,40,4,Fail,Pending,2026-06-03,Selected
162,155,2,Fail,Fail,2026-01-12,Pending
163,139,10,Fail,Fail,2026-03-03,Selected
164,51,3,Pass,Fail,2026-05-16,Rejected
165,189,9,Pass,Pending,2025-08-05,Selected
166,189,6,Pass,Pending,2025-12-06,Pending
167,137,1,Fail,Fail,2025-07-29,Pending
168,136,9,Fail,Pass,2025-11-04,Pending
169,155,1,Pass,Pending,2026-02-14,Selected
170,142,6,Fail,Pass,2026-04-21,Rejected
171,97,7,Fail,Pass,2026-03-22,Rejected
172,84,8,Fail,Pending,2026-05-03,Pending
173,92,4,Pass,Pending,2026-03-05,Selected
174,28,8,Fail,Pending,2026-06-23,Rejected
175,20,3,Pass,Pass,2026-03-13,Pending
176,47,7,Pass,Fail,2025-09-05,Selected
177,119,5,Pass,Fail,2026-07-16,Pending
178,139,5,Fail,Fail,2025-08-05,Pending
179,90,3,Pass,Fail,2025-12-24,Pending
180,92,5,Fail,Pass,2026-02-21,Rejected
181,192,3,Fail,Pass,2026-05-24,Pending
182,160,8,Fail,Pass,2025-09-09,Selected
183,120,10,Fail,Pending,2025-12-10,Selected
184,98,10,Fail,Pass,2025-10-03,Pending
185,188,4,Pass,Pass,2026-04-14,Pending
186,69,1,Pass,Pass,2026-05-11,Pending
187,37,9,Pass,Pending,2025-11-19,Rejected
188,152,2,Pass,Pass,2026-06-16,Pending
189,35,1,Fail,Pass,2025-10-25,Pending
190,161,3,Pass,Fail,2026-05-14,Rejected
191,163,9,Fail,Pass,2026-02-26,Pending
192,85,1,Pass,Pass,2026-04-27,Pending
193,93,5,Fail,Pending,2026-04-05,Rejected
194,134,7,Pass,Pass,2026-04-16,Rejected
195,158,8,Pass,Pending,2025-11-19,Selected
196,34,10,Pass,Pending,2026-07-02,Pending
197,147,3,Pass,Pass,2026-04-19,Selected
198,77,6,Fail,Pending,2026-04-19,Rejected
199,50,1,Pass,Fail,2026-07-22,Pending
200,115,9,Pass,Pass,2025-12-01,Pending
201,52,8,Pass,Pass,2025-10-18,Selected
202,86,9,Fail,Fail,2026-06-24,Pending
203,119,1,Pass,Fail,2026-01-28,Selected
204,117,9,Fail,Fail,2026-06-25,Selected
205,168,8,Fail,Pending,2026-06-24,Rejected
206,80,2,Fail,Pass,2025-10-03,Rejected
207,199,8,Pass,Pending,2025-09-26,Pending
208,29,6,Pass,Pass,2025-12-22,Selected
209,194,5,Pass,Pending,2026-06-14,Pending
210,116,4,Fail,Pass,2026-06-14,Pending
211,22,8,Fail,Fail,2025-09-16,Pending
212,7,2,Fail,Pass,2026-04-18,Pending
213,143,9,Fail,Pending,2025-09-10,Rejected
214,167,8,Fail,Pass,2026-06-11,Selected
215,89,9,Pass,Pending,2026-05-29,Selected
216,118,5,Fail,Fail,2026-07-13,Selected
217,57,5,Pass,Fail,2026-06-11,Selected
218,65,1,Pass,Pending,2025-10-09,Pending
219,29,8,Fail,Fail,2026-06-18,Rejected
220,67,7,Pass,Pending,2026-01-22,Selected
221,46,7,Fail,Pass,2025-12-13,Rejected
222,147,1,Fail,Pending,2026-04-05,Rejected
223,49,4,Pass,Pending,2026-04-03,Rejected
224,161,2,Pass,Pass,2025-08-09,Selected
225,142,3,Pass,Pass,2025-10-29,Selected
226,195,3,Fail,Pass,2026-06-17,Selected
227,89,4,Fail,Pass,2025-11-21,Selected
228,13,10,Fail,Fail,2026-06-18,Selected
229,72,1,Pass,Fail,2026-06-01,Pending
230,117,5,Pass,Fail,2025-12-12,Rejected
231,146,10,Pass,Pending,2026-01-29,Pending
232,168,5,Pass,Pass,2025-07-29,Selected
233,41,10,Pass,Pass,2026-06-12,Pending
234,76,10,Pass,Pending,2026-07-21,Selected
235,98,7,Pass,Fail,2026-03-27,Rejected
236,37,7,Pass,Fail,2026-02-26,Pending
237,87,1,Fail,Pending,2025-12-15,Pending
238,97,4,Pass,Pending,2025-09-30,Rejected
239,156,1,Fail,Pending,2026-04-29,Rejected
240,58,6,Fail,Pass,2025-12-22,Rejected
241,161,10,Pass,Fail,2025-10-03,Rejected
242,84,6,Fail,Fail,2025-10-16,Pending
243,163,2,Fail,Pass,2026-02-03,Selected
244,38,6,Fail,Pass,2025-09-14,Rejected
245,94,2,Pass,Pending,2025-12-09,Pending
246,30,5,Pass,Pass,2026-04-26,Selected
247,179,4,Pass,Pass,2026-05-07,Selected
248,169,3,Fail,Pass,2026-06-26,Selected
249,3,5,Pass,Pending,2026-02-07,Rejected
250,41,4,Fail,Pending,2026-03-08,Rejected
251,39,7,Fail,Fail,2025-07-25,Selected
252,168,3,Pass,Pending,2025-09-05,Rejected
253,50,4,Pass,Pass,2025-08-06,Rejected
254,54,6,Pass,Fail,2025-09-21,Selected
255,110,3,Fail,Pending,2026-03-12,Selected
256,143,7,Fail,Pass,2026-05-14,Rejected
257,98,9,Fail,Pass,2026-01-21,Rejected
258,61,3,Fail,Pass,2025-11-25,Rejected
259,43,9,Pass,Pass,2026-04-27,Pending
260,87,1,Fail,Pass,2026-02-16,Selected
261,82,1,Pass,Fail,2026-05-25,Selected
262,44,5,Pass,Fail,2026-07-22,Selected
263,35,5,Pass,Fail,2025-11-08,Pending
264,121,7,Pass,Pass,2025-10-20,Rejected
265,37,1,Pass,Pass,2025-11-24,Rejected
266,143,7,Fail,Pending,2025-07-26,Selected
267,105,10,Pass,Fail,2025-08-22,Rejected
268,21,3,Pass,Fail,2026-02-19,Pending
269,97,9,Pass,Pass,2026-02-19,Pending
270,27,4,Fail,Pass,2026-02-08,Selected
271,16,7,Pass,Pass,2026-02-20,Selected
272,16,3,Pass,Pending,2025-10-05,Selected
273,153,2,Fail,Fail,2025-11-29,Rejected
274,154,6,Fail,Pending,2025-08-23,Rejected
275,140,2,Fail,Pass,2026-05-10,Selected
276,37,7,Fail,Fail,2026-07-13,Selected
277,40,1,Pass,Pending,2025-11-03,Selected
278,146,2,Pass,Fail,2026-05-22,Selected
279,158,4,Fail,Pending,2025-10-14,Pending
280,15,7,Fail,Pass,2025-10-12,Pending
281,66,10,Fail,Fail,2025-08-08,Rejected
282,150,3,Pass,Fail,2025-10-29,Selected
283,10,3,Fail,Pending,2025-11-14,Selected
284,141,7,Fail,Pending,2025-10-16,Selected
285,56,6,Pass,Fail,2025-10-09,Pending
286,71,2,Fail,Pass,2026-01-28,Selected
287,12,10,Fail,Pass,2026-06-27,Rejected
288,168,3,Pass,Pass,2025-12-17,Rejected
289,185,1,Pass,Pending,2026-06-26,Rejected
290,85,10,Pass,Fail,2026-04-07,Rejected
291,168,1,Fail,Pending,2025-12-14,Pending
292,172,9,Fail,Pending,2026-04-26,Selected
293,61,10,Fail,Pending,2026-04-15,Pending
294,186,7,Pass,Fail,2025-07-24,Selected
295,37,3,Pass,Fail,2026-03-20,Rejected
296,125,7,Pass,Pending,2025-08-12,Selected
297,158,10,Pass,Pass,2025-09-15,Rejected
298,50,10,Fail,Pending,2026-04-10,Pending
299,16,4,Fail,Fail,2025-12-19,Rejected
300,79,1,Fail,Pending,2026-02-14,Rejected
